Age,Attrition,Department,Gender,JobRole,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
42,No,"Human Resources",Male,"Human Resources",2696,Yes,3,4,3,3,2,1
32,No,"Research & Development",Female,"Laboratory Technician",2370,No,3,8,3,8,0,0
48,No,Sales,Female,Manager,12504,No,4,15,1,0,0,0
37,No,"Research & Development",Male,"Research Scientist",5974,Yes,3,13,3,7,7,6
30,No,Sales,Female,"Sales Executive",4736,Yes,3,4,4,2,2,2
26,No,Sales,Male,"Sales Executive",5296,No,3,8,3,8,7,7
42,No,"Research & Development",Male,"Healthcare Representative",6781,No,4,14,3,1,0,0
21,Yes,Sales,Female,"Sales Representative",2174,Yes,3,3,3,3,2,1
36,No,Sales,Female,"Sales Executive",6653,No,3,7,3,1,0,0
36,No,Sales,Male,"Sales Executive",9699,No,3,16,3,13,9,1
57,No,"Research & Development",Male,"Healthcare Representative",6755,No,3,15,3,3,2,1
40,No,"Research & Development",Female,"Laboratory Technician",2213,Yes,3,10,3,7,7,1
21,No,Sales,Male,"Sales Representative",2610,No,4,3,2,3,2,2
33,Yes,Sales,Female,"Sales Representative",2851,Yes,3,1,3,1,0,0
37,No,"Research & Development",Female,"Laboratory Technician",3452,No,4,17,3,5,4,0
46,No,"Research & Development",Female,"Manufacturing Director",5258,No,3,7,4,1,0,0
41,Yes,Sales,Male,"Sales Executive",9355,No,3,8,3,8,7,7
50,No,"Research & Development",Male,"Healthcare Representative",10496,No,3,20,3,4,3,1
40,Yes,Sales,Male,"Sales Executive",6380,Yes,3,8,3,6,4,1
31,No,"Research & Development",Male,"Research Scientist",2657,Yes,3,3,3,2,2,2
21,Yes,Sales,Female,"Sales Representative",2716,No,3,1,3,1,0,0
29,No,"Research & Development",Male,"Research Scientist",2201,No,3,6,3,3,2,1
35,No,"Research & Development",Male,"Healthcare Representative",6540,No,3,10,3,1,1,0
27,No,"Research & Development",Male,"Laboratory Technician",3816,No,3,5,3,5,2,0
28,No,Sales,Male,"Sales Executive",5253,No,3,7,3,7,5,0
49,No,"Research & Development",Male,"Healthcare Representative",10965,No,4,26,3,5,2,0
51,No,Sales,Female,"Sales Executive",4936,No,3,18,2,7,7,0
36,No,"Research & Development",Female,"Research Scientist",2543,No,3,6,3,2,2,2
34,Yes,Sales,Male,"Sales Executive",5304,Yes,3,9,2,5,2,0
55,No,"Research & Development",Female,Manager,16659,Yes,3,30,3,5,4,1
24,No,Sales,Female,"Sales Executive",4260,Yes,3,5,4,5,2,0
30,No,Sales,Male,"Sales Representative",2476,No,3,1,3,1,0,0
26,Yes,"Research & Development",Male,"Research Scientist",3102,No,4,7,3,6,4,0
22,No,"Research & Development",Female,"Research Scientist",2244,No,3,2,3,2,1,1
36,No,Sales,Male,"Sales Executive",7596,No,3,10,3,10,9,9
30,Yes,"Research & Development",Male,"Research Scientist",2285,Yes,4,3,3,1,0,0
37,No,"Research & Development",Female,"Laboratory Technician",3034,No,3,18,2,18,7,12
40,No,Sales,Female,"Sales Executive",5715,No,3,8,3,5,4,1
42,No,"Research & Development",Female,"Laboratory Technician",2576,No,3,8,3,5,2,1
37,No,"Research & Development",Male,"Manufacturing Director",4197,Yes,3,18,2,1,0,0
43,No,"Research & Development",Male,"Research Director",14336,No,3,25,3,25,10,3
40,No,"Research & Development",Female,"Laboratory Technician",3448,No,4,20,3,1,0,0
54,No,"Research & Development",Male,"Research Director",19406,No,3,24,2,4,2,1
34,No,Sales,Female,"Sales Executive",6538,No,3,6,3,3,2,1
31,No,"Research & Development",Female,"Manufacturing Director",4306,No,3,13,1,13,10,3
43,No,"Research & Development",Male,"Laboratory Technician",2258,No,4,8,3,3,2,1
43,No,"Research & Development",Female,"Healthcare Representative",4522,Yes,3,8,3,5,2,0
25,No,Sales,Female,"Sales Executive",4487,Yes,3,5,3,5,4,1
37,No,"Research & Development",Female,"Research Scientist",4449,Yes,3,15,3,13,11,10
31,No,"Research & Development",Male,"Laboratory Technician",2218,No,3,4,3,4,2,3
39,No,"Research & Development",Male,Manager,19197,Yes,3,21,3,21,8,1
56,No,Sales,Female,"Sales Executive",13212,No,3,36,2,7,7,7
30,No,Sales,Female,"Sales Executive",6577,No,3,6,3,5,4,4
41,No,Sales,Male,"Sales Executive",8392,No,3,10,3,10,7,0
28,No,"Research & Development",Male,"Laboratory Technician",4558,No,3,10,3,10,0,1
25,Yes,"Research & Development",Male,"Laboratory Technician",4031,No,3,6,3,2,2,0
52,No,"Research & Development",Male,"Manufacturing Director",7969,Yes,3,28,3,5,4,0
45,No,"Research & Development",Male,"Research Scientist",2654,No,4,8,2,2,2,0
52,No,"Research & Development",Female,Manager,16555,No,3,31,1,5,2,1
42,No,"Research & Development",Female,"Research Scientist",4556,No,3,19,3,5,4,0
30,No,"Research & Development",Female,"Manufacturing Director",6091,No,4,11,3,5,4,0
60,No,"Research & Development",Female,Manager,19566,No,3,33,1,29,8,11
46,No,"Research & Development",Female,"Manufacturing Director",4810,No,3,19,2,10,7,0
42,No,"Research & Development",Female,"Healthcare Representative",4523,No,3,7,4,6,5,0
24,Yes,Sales,Female,"Sales Representative",3202,Yes,3,6,3,5,3,1
34,Yes,Sales,Female,"Sales Representative",2351,No,3,3,2,2,2,1
38,No,"Research & Development",Male,"Laboratory Technician",1702,Yes,4,1,3,1,0,0
40,No,Sales,Female,Manager,18041,No,3,21,3,20,15,1
26,No,"Research & Development",Female,"Research Scientist",2886,No,4,3,1,3,2,0
30,No,"Research & Development",Male,"Laboratory Technician",2097,No,3,9,1,5,3,1
29,No,"Research & Development",Male,"Research Director",11935,No,3,10,3,10,2,0
29,Yes,"Research & Development",Female,"Research Scientist",2546,No,3,6,4,2,2,1
19,Yes,"Human Resources",Male,"Human Resources",2564,No,3,1,4,1,0,0
30,No,Sales,Female,"Sales Executive",8412,No,3,10,3,9,8,7
57,No,Sales,Male,Manager,14118,No,3,32,2,1,0,0
50,No,"Research & Development",Male,Manager,17046,No,3,28,3,27,10,15
30,No,"Research & Development",Female,"Laboratory Technician",2564,No,3,12,2,11,7,6
60,No,Sales,Female,"Sales Executive",10266,No,3,22,4,18,13,13
47,No,"Research & Development",Female,"Manufacturing Director",5070,No,3,20,3,5,0,0
46,No,"Research & Development",Male,"Research Director",17861,No,3,26,1,3,2,0
35,No,"Research & Development",Male,"Laboratory Technician",4230,No,3,6,3,5,4,4
54,No,"Research & Development",Female,"Laboratory Technician",3780,No,3,19,3,1,0,0
34,No,"Research & Development",Male,"Research Scientist",2768,No,3,14,3,7,3,5
46,No,Sales,Female,"Sales Executive",9071,Yes,3,15,3,3,2,1
31,No,"Research & Development",Male,"Manufacturing Director",10648,No,4,13,4,13,8,0
33,Yes,"Research & Development",Male,Manager,13610,Yes,3,15,4,7,6,7
33,Yes,"Research & Development",Male,"Laboratory Technician",3408,No,3,8,3,4,3,1
30,No,Sales,Male,"Sales Representative",2983,No,3,4,3,3,2,1
35,No,"Research & Development",Male,"Healthcare Representative",7632,Yes,3,10,3,8,7,0
31,Yes,"Research & Development",Male,"Healthcare Representative",9824,No,3,12,3,1,0,0
34,Yes,"Human Resources",Female,"Human Resources",9950,Yes,3,11,3,3,2,0
42,No,"Research & Development",Male,"Laboratory Technician",2093,No,3,8,3,2,2,2
36,No,Sales,Male,"Sales Executive",9980,No,3,10,2,10,3,9
22,Yes,"Research & Development",Male,"Laboratory Technician",3894,No,3,4,3,2,2,1
48,No,Sales,Female,"Sales Executive",4051,No,3,14,3,9,7,6
55,No,Sales,Female,Manager,16835,No,4,37,3,10,9,7
41,No,Sales,Male,"Sales Executive",6230,No,3,16,3,14,3,1
35,No,Sales,Male,"Sales Executive",4717,No,3,15,3,11,9,6
40,No,"Research & Development",Female,"Manufacturing Director",13237,No,3,22,3,20,6,5
39,No,"Research & Development",Female,"Laboratory Technician",3755,No,3,8,3,8,3,0
31,No,Sales,Male,"Sales Executive",6582,Yes,3,10,4,6,5,0
42,No,"Research & Development",Male,"Manufacturing Director",7406,Yes,4,10,2,10,9,5
45,No,Sales,Male,"Sales Executive",4805,No,3,9,4,8,7,3
26,Yes,"Human Resources",Female,"Human Resources",2741,Yes,3,8,2,7,7,1
29,No,"Research & Development",Male,"Manufacturing Director",4262,No,3,8,4,3,2,1
33,No,"Research & Development",Female,"Research Director",16184,No,3,10,3,6,1,0
31,No,Sales,Male,Manager,11557,No,4,10,2,5,4,0
18,Yes,Sales,Male,"Sales Representative",1878,Yes,3,0,3,0,0,0
40,No,Sales,Male,"Sales Executive",10932,No,3,20,3,1,0,0
41,No,"Research & Development",Female,"Healthcare Representative",6811,Yes,3,10,3,8,7,0
26,No,Sales,Male,"Sales Executive",4306,No,3,8,3,0,0,0
35,No,Sales,Female,"Sales Executive",4859,No,3,5,3,5,4,0
34,No,Sales,Male,"Sales Executive",5337,No,3,10,3,10,7,5
26,Yes,"Research & Development",Male,"Laboratory Technician",2340,Yes,3,1,1,1,0,0
37,No,"Research & Development",Female,"Manufacturing Director",7491,No,3,12,4,6,5,1
46,No,"Research & Development",Female,"Healthcare Representative",10527,No,3,28,2,2,2,1
41,No,Sales,Female,Manager,16595,No,3,22,3,18,16,11
37,No,Sales,Male,"Sales Executive",8834,No,3,9,3,9,5,7
52,No,"Research & Development",Male,"Research Scientist",5577,Yes,3,18,3,10,9,6
32,Yes,Sales,Male,"Sales Executive",4707,No,3,6,3,4,2,1
24,No,Sales,Male,"Sales Representative",2400,No,3,3,3,2,2,2
38,No,"Research & Development",Female,"Healthcare Representative",9824,No,3,18,3,1,0,0
37,No,"Research & Development",Female,"Manufacturing Director",6447,No,3,8,2,6,5,4
49,No,"Research & Development",Male,"Research Director",19502,Yes,3,31,3,31,9,0
24,No,"Research & Development",Male,"Research Scientist",2725,Yes,3,6,3,6,5,1
26,No,Sales,Male,"Sales Executive",6272,No,4,6,4,5,3,1
24,No,"Research & Development",Male,"Laboratory Technician",2127,No,4,1,3,1,0,0
50,No,"Human Resources",Male,Manager,18200,No,3,32,3,32,5,10
25,No,Sales,Male,"Sales Representative",2096,No,3,7,3,7,4,0
24,Yes,"Research & Development",Female,"Laboratory Technician",2886,Yes,3,6,3,6,3,1
30,Yes,Sales,Male,"Sales Representative",2033,No,3,1,4,1,0,0
34,No,"Research & Development",Male,"Research Scientist",3622,Yes,3,6,3,6,5,1
31,Yes,Sales,Male,"Sales Executive",4233,No,3,9,1,3,1,1
35,No,"Research & Development",Male,"Laboratory Technician",3681,No,3,9,3,3,2,0
31,No,Sales,Male,"Sales Executive",5460,No,4,13,4,7,7,5
27,No,"Research & Development",Female,"Research Scientist",2187,No,3,6,2,5,3,0
37,No,Sales,Male,"Sales Executive",9602,Yes,3,17,2,3,0,1
20,No,"Research & Development",Female,"Research Scientist",2836,No,3,1,4,1,0,0
42,No,"Research & Development",Female,"Healthcare Representative",4089,No,3,10,3,10,2,2
43,No,"Research & Development",Male,"Research Director",16627,Yes,3,21,2,1,0,0
38,No,"Research & Development",Female,"Research Scientist",2619,No,3,8,2,0,0,0
43,No,"Research & Development",Male,"Laboratory Technician",5679,Yes,3,10,3,8,7,4
48,No,"Research & Development",Female,Manager,15402,No,3,21,1,3,2,0
44,No,"Human Resources",Female,"Human Resources",5985,No,3,10,4,2,2,0
34,No,Sales,Female,"Sales Representative",2579,Yes,3,8,3,8,2,0
27,Yes,Sales,Male,"Sales Representative",3041,No,3,5,3,4,3,0
21,No,Sales,Male,"Sales Representative",3447,No,3,3,3,3,2,1
44,No,"Research & Development",Male,Manager,19513,Yes,3,26,4,2,2,0
22,No,"Research & Development",Male,"Research Scientist",2773,No,4,3,3,2,2,2
33,No,Sales,Male,"Sales Executive",7104,No,3,6,3,5,0,1
32,No,"Research & Development",Female,"Research Scientist",6322,Yes,3,6,2,6,4,0
30,No,"Research & Development",Female,"Research Scientist",2083,No,4,1,3,1,0,0
53,No,Sales,Female,"Sales Executive",8381,No,4,18,4,14,7,8
34,No,"Research & Development",Male,"Research Scientist",2691,No,3,10,2,10,9,8
45,Yes,Sales,Female,"Sales Executive",4286,No,3,5,3,1,1,0
26,No,"Research & Development",Female,"Laboratory Technician",2659,Yes,3,3,3,3,2,0
37,No,"Research & Development",Male,"Manufacturing Director",9434,No,3,10,3,10,7,7
29,No,Sales,Female,"Sales Executive",5561,No,3,6,2,6,0,1
35,No,"Research & Development",Male,"Research Scientist",6646,No,3,17,3,17,11,11
33,No,"Research & Development",Male,"Healthcare Representative",7725,No,4,15,1,13,11,4
54,No,"Human Resources",Male,"Human Resources",10725,No,3,16,4,9,7,7
36,No,"Research & Development",Male,"Manufacturing Director",8847,Yes,3,13,3,3,2,0
27,No,"Research & Development",Male,"Research Scientist",2045,No,3,5,3,4,2,1
20,Yes,"Research & Development",Male,"Research Scientist",1009,Yes,3,1,3,1,0,1
33,Yes,"Research & Development",Male,"Research Scientist",3348,Yes,3,10,3,10,8,9
35,No,"Research & Development",Male,"Laboratory Technician",1281,No,3,1,3,1,0,0
23,No,"Research & Development",Male,"Research Scientist",2819,No,3,5,4,3,2,0
25,No,Sales,Male,"Sales Executive",4851,No,4,4,3,3,2,1
38,No,Sales,Female,"Sales Executive",4028,No,4,8,3,7,7,0
29,No,"Research & Development",Male,"Research Scientist",2720,No,3,10,3,10,7,2
48,No,Sales,Male,"Sales Executive",8120,No,3,12,3,2,2,2
27,No,Sales,Female,"Sales Executive",4647,Yes,4,6,3,6,5,0
37,No,"Research & Development",Male,"Research Scientist",4680,No,3,4,3,1,0,0
50,No,"Research & Development",Male,"Laboratory Technician",3221,Yes,3,20,3,20,8,3
34,No,"Research & Development",Female,"Healthcare Representative",8621,No,3,9,4,8,7,7
24,Yes,Sales,Female,"Sales Executive",4577,No,3,4,3,2,2,2
39,No,"Research & Development",Female,"Healthcare Representative",4553,No,3,20,3,20,7,11
32,No,Sales,Male,"Sales Executive",5396,No,3,10,2,10,7,0
50,Yes,Sales,Male,"Sales Executive",6796,Yes,3,18,3,4,3,1
38,No,"Research & Development",Female,"Healthcare Representative",7625,No,3,10,2,9,7,1
27,No,"Research & Development",Female,"Manufacturing Director",7412,No,3,9,3,9,7,0
32,No,"Research & Development",Female,"Research Director",11159,No,3,10,3,7,7,7
47,No,Sales,Male,"Sales Executive",4960,No,3,20,3,7,7,1
40,No,Sales,Male,"Sales Executive",10475,Yes,4,20,3,18,13,1
53,No,"Research & Development",Male,"Research Director",14814,No,3,32,3,5,1,1
41,No,"Human Resources",Male,Manager,19141,No,3,23,2,21,6,12
60,No,Sales,Male,"Sales Executive",5405,No,3,10,3,2,2,2
27,No,"Research & Development",Male,"Manufacturing Director",8793,No,4,9,2,9,7,1
41,No,"Human Resources",Male,Manager,19189,No,3,22,3,22,7,2
50,No,Sales,Male,"Sales Representative",3875,No,3,4,3,2,2,2
28,Yes,"Research & Development",Female,"Research Scientist",2216,Yes,3,10,3,7,7,3
36,No,"Research & Development",Female,"Research Director",11713,No,3,10,3,8,7,0
38,No,"Research & Development",Female,"Manufacturing Director",7861,Yes,3,10,4,1,0,0
44,No,"Research & Development",Male,"Laboratory Technician",3708,No,3,9,3,5,2,1
47,No,Sales,Female,"Sales Executive",13770,Yes,3,28,2,22,2,11
30,No,Sales,Male,"Sales Executive",5304,No,4,10,2,8,7,7
29,No,Sales,Male,"Sales Representative",2642,No,3,1,3,1,0,0
42,Yes,"Research & Development",Male,"Research Scientist",2759,Yes,3,7,3,2,2,2
43,No,Sales,Male,"Sales Executive",6804,No,3,7,3,2,2,2
34,No,"Research & Development",Female,"Healthcare Representative",6142,No,3,10,3,5,1,4
23,No,"Research & Development",Male,"Laboratory Technician",2500,No,3,5,4,4,3,0
39,No,"Human Resources",Female,"Human Resources",6389,No,3,12,1,8,3,3
56,No,"Research & Development",Male,"Healthcare Representative",11103,No,3,30,2,10,7,1
40,No,"Research & Development",Female,"Research Scientist",2342,Yes,4,5,2,4,2,2
27,No,"Research & Development",Female,"Healthcare Representative",6811,No,3,9,1,7,6,0
29,No,Sales,Male,"Sales Representative",2297,No,3,2,3,2,2,2
53,No,"Research & Development",Male,"Laboratory Technician",2450,No,3,19,3,2,2,2
35,No,"Research & Development",Female,"Healthcare Representative",5093,No,3,16,4,1,0,0
32,No,"Research & Development",Male,"Laboratory Technician",5309,No,3,10,3,10,8,4
38,No,"Research & Development",Male,"Research Scientist",3057,Yes,3,6,1,1,0,0
34,No,"Research & Development",Female,"Manufacturing Director",5121,No,3,7,3,0,0,0
52,No,Sales,Male,Manager,16856,No,3,34,4,34,6,1
33,Yes,"Research & Development",Male,"Research Scientist",2686,Yes,3,10,2,10,9,7
25,No,Sales,Female,"Sales Executive",6180,No,4,6,2,6,5,1
45,No,Sales,Male,"Sales Representative",6632,No,3,9,3,8,7,3
23,No,"Research & Development",Male,"Research Scientist",3505,No,3,2,3,2,2,0
47,Yes,Sales,Female,"Sales Executive",6397,Yes,3,8,3,5,4,1
34,No,Sales,Male,"Sales Executive",6274,No,4,6,3,6,5,1
55,Yes,"Research & Development",Male,Manager,19859,Yes,3,24,3,5,2,1
36,No,Sales,Male,"Sales Executive",7587,No,3,10,3,10,7,0
52,No,"Research & Development",Male,"Research Scientist",4258,No,3,5,3,4,3,1
26,No,"Research & Development",Female,"Laboratory Technician",4364,No,3,5,3,2,2,2
29,No,"Research & Development",Female,"Healthcare Representative",4335,No,3,11,2,8,7,1
26,Yes,Sales,Male,"Sales Executive",5326,No,3,6,2,4,3,1
34,No,"Research & Development",Female,"Research Scientist",3280,No,3,10,3,4,2,1
54,No,"Research & Development",Female,"Manufacturing Director",5485,Yes,3,9,3,5,3,1
27,No,Sales,Male,"Sales Executive",4342,No,3,5,3,4,2,1
37,No,"Research & Development",Female,"Research Scientist",2782,Yes,3,6,2,5,3,4
38,No,"Research & Development",Female,"Manufacturing Director",5980,Yes,3,17,3,15,7,4
34,No,"Research & Development",Female,"Research Scientist",4381,No,3,6,3,6,5,1
35,No,Sales,Female,"Sales Representative",2572,No,3,3,2,3,2,0
30,No,"Research & Development",Male,"Laboratory Technician",3833,No,4,7,3,2,2,0
40,No,"Research & Development",Female,"Healthcare Representative",4244,No,4,8,3,8,7,3
34,No,Sales,Female,"Sales Executive",6500,No,3,6,3,3,2,1
42,No,"Research & Development",Male,Manager,18430,No,3,24,2,24,7,14
23,Yes,"Research & Development",Male,"Laboratory Technician",1601,Yes,4,1,3,0,0,0
24,No,"Research & Development",Male,"Laboratory Technician",2694,No,3,1,3,1,0,0
52,No,"Research & Development",Female,"Laboratory Technician",3149,No,4,9,3,5,2,1
50,No,"Research & Development",Male,"Research Director",17639,No,3,30,3,4,3,0
29,Yes,"Research & Development",Female,"Laboratory Technician",2319,Yes,3,1,3,1,0,0
33,No,"Research & Development",Male,"Research Director",11691,No,3,14,4,13,9,3
33,Yes,Sales,Female,"Sales Executive",5324,No,3,6,3,3,2,0
47,No,"Research & Development",Female,Manager,16752,Yes,3,26,2,26,14,3
36,No,"Research & Development",Female,"Manufacturing Director",5228,No,3,10,3,9,7,0
29,No,"Research & Development",Male,"Research Scientist",2700,No,4,10,3,10,7,0
58,Yes,"Research & Development",Male,"Research Director",19246,Yes,3,40,3,31,15,13
35,No,"Research & Development",Female,"Research Scientist",2506,No,3,7,3,2,2,2
42,No,"Research & Development",Female,"Manufacturing Director",6062,Yes,3,8,3,4,3,0
28,Yes,"Research & Development",Male,"Research Scientist",4382,No,3,5,2,2,2,2
36,No,"Human Resources",Male,"Human Resources",2143,No,3,8,3,5,2,0
32,No,"Research & Development",Female,"Manufacturing Director",6162,No,3,14,3,14,13,6
40,No,"Research & Development",Male,"Laboratory Technician",5094,No,3,10,3,1,0,0
30,No,"Research & Development",Female,"Manufacturing Director",6877,Yes,4,12,2,0,0,0
45,No,"Research & Development",Female,"Research Scientist",2274,No,3,1,3,1,0,0
42,No,"Research & Development",Male,"Manufacturing Director",4434,No,3,10,2,9,8,7
38,No,"Research & Development",Male,"Healthcare Representative",6288,No,3,13,2,4,3,1
34,No,"Research & Development",Female,"Research Scientist",2553,No,3,6,3,5,2,1
49,Yes,Sales,Female,"Sales Executive",7654,No,3,9,4,9,8,7
55,Yes,Sales,Male,"Sales Executive",5160,No,3,12,2,9,7,7
43,No,"Research & Development",Male,"Research Director",17159,No,4,22,3,4,1,1
27,No,"Research & Development",Male,"Research Director",12808,Yes,3,9,3,9,8,0
35,No,"Research & Development",Male,"Manufacturing Director",10221,No,4,17,4,8,5,1
28,No,Sales,Female,"Sales Executive",4779,Yes,4,8,3,8,7,7
34,No,"Human Resources",Male,"Human Resources",3737,No,3,4,1,3,2,0
26,Yes,"Research & Development",Female,"Research Scientist",2366,Yes,3,8,3,8,7,1
27,No,"Research & Development",Male,"Research Scientist",1706,No,3,0,2,0,0,0
51,No,Sales,Female,Manager,16307,No,3,29,2,20,6,4
44,No,"Research & Development",Male,"Healthcare Representative",5933,No,3,10,2,5,2,2
25,No,"Research & Development",Male,"Research Scientist",3424,No,3,6,2,4,3,0
33,No,Sales,Male,"Sales Executive",4037,No,4,9,3,9,8,0
35,No,"Research & Development",Female,"Research Scientist",2559,No,3,6,2,6,5,1
36,No,Sales,Male,"Sales Executive",6201,Yes,3,18,2,18,14,4
32,No,Sales,Male,"Sales Executive",4403,No,3,8,2,5,2,0
30,No,"Research & Development",Male,"Research Scientist",3761,No,3,10,2,5,4,0
53,No,Sales,Female,"Sales Executive",10934,Yes,3,35,3,5,2,0
45,No,Sales,Male,"Sales Executive",10761,Yes,3,18,3,5,4,0
32,No,"Research & Development",Female,"Research Scientist",5175,No,3,9,2,5,3,1
52,No,"Research & Development",Female,"Manufacturing Director",13826,No,4,31,3,9,8,0
37,No,Sales,Male,"Sales Executive",6334,No,3,9,3,1,0,0
28,No,"Human Resources",Male,"Human Resources",4936,No,3,6,3,5,1,0
22,No,"Research & Development",Male,"Manufacturing Director",4775,No,4,4,1,2,2,2
44,No,"Research & Development",Male,"Laboratory Technician",2818,Yes,4,10,2,3,2,0
42,No,"Research & Development",Male,"Research Scientist",2515,Yes,3,8,3,2,1,2
36,No,"Human Resources",Male,"Human Resources",2342,No,4,6,3,5,4,0
25,No,Sales,Male,"Sales Executive",4194,Yes,3,5,3,5,3,0
35,No,"Research & Development",Female,"Manufacturing Director",10685,Yes,4,17,3,17,14,5
35,Yes,"Research & Development",Female,"Research Scientist",2022,Yes,3,10,2,10,2,7
32,No,"Research & Development",Male,"Laboratory Technician",2314,No,3,4,3,3,0,0
25,No,Sales,Male,"Sales Executive",4256,No,3,5,4,5,2,0
49,No,"Research & Development",Female,"Research Scientist",3580,No,3,7,3,4,2,0
24,No,"Research & Development",Male,"Laboratory Technician",3162,No,3,6,2,5,2,3
32,No,Sales,Male,"Sales Executive",6524,No,3,10,3,10,8,5
38,No,Sales,Male,"Sales Representative",2899,No,3,3,3,2,2,1
42,No,"Research & Development",Female,"Laboratory Technician",5231,Yes,3,17,2,5,3,1
31,No,"Research & Development",Male,"Research Scientist",2356,Yes,3,8,3,6,4,0
29,Yes,Sales,Female,"Sales Representative",2800,Yes,3,5,3,3,2,0
53,No,Sales,Male,"Sales Executive",11836,No,3,28,3,2,0,2
35,No,"Research & Development",Male,"Manufacturing Director",10903,No,3,16,3,13,10,4
37,No,Sales,Female,"Sales Representative",2973,No,3,10,3,5,4,0
53,No,"Research & Development",Female,"Research Director",14275,No,3,33,3,12,9,3
43,No,"Research & Development",Female,"Healthcare Representative",5562,No,3,12,2,5,2,2
47,No,Sales,Female,"Sales Executive",4537,Yes,4,8,3,7,6,7
37,No,Sales,Male,"Sales Executive",7642,Yes,3,10,3,10,0,0
50,No,"Research & Development",Male,Manager,17924,No,3,31,3,31,6,14
39,No,"Human Resources",Female,"Human Resources",5204,No,3,13,3,5,4,0
33,No,"Human Resources",Male,"Human Resources",2277,Yes,3,7,4,4,3,0
32,Yes,"Research & Development",Male,"Laboratory Technician",2795,Yes,4,1,1,1,0,0
29,No,"Research & Development",Female,"Laboratory Technician",2532,No,3,8,3,4,3,0
44,No,"Research & Development",Male,"Research Scientist",2559,Yes,3,8,3,8,7,7
28,No,Sales,Male,"Sales Executive",4908,No,3,4,3,4,2,0
58,Yes,"Research & Development",Male,"Laboratory Technician",2380,Yes,3,3,2,1,0,0
43,No,"Research & Development",Female,"Manufacturing Director",4765,No,4,4,4,1,0,0
20,Yes,Sales,Female,"Sales Representative",2044,No,3,2,2,2,2,0
21,Yes,"Research & Development",Female,"Research Scientist",2693,No,3,1,2,1,0,0
36,No,"Research & Development",Male,"Healthcare Representative",6586,Yes,3,17,2,16,8,4
47,No,Sales,Female,"Sales Representative",3294,Yes,3,3,2,3,2,1
22,Yes,"Research & Development",Female,"Manufacturing Director",4171,Yes,3,4,4,3,2,0
41,Yes,"Research & Development",Female,"Laboratory Technician",2778,Yes,3,10,2,7,7,1
28,No,"Research & Development",Female,"Research Scientist",2377,No,3,6,3,2,2,2
39,Yes,"Research & Development",Male,"Laboratory Technician",2404,Yes,4,8,1,2,2,2
27,No,"Research & Development",Female,"Research Scientist",2318,No,3,1,3,1,1,0
34,No,"Research & Development",Male,"Laboratory Technician",2008,No,3,1,3,1,0,1
42,No,Sales,Female,"Sales Executive",6244,No,3,10,3,5,4,0
33,No,"Research & Development",Male,"Research Scientist",2799,Yes,3,6,3,3,2,0
58,No,"Research & Development",Female,"Healthcare Representative",10552,Yes,3,24,3,6,0,0
31,No,Sales,Male,"Sales Representative",2329,No,3,13,4,7,7,5
35,No,"Research & Development",Female,"Healthcare Representative",4014,Yes,4,10,1,10,6,0
49,No,"Research & Development",Female,"Laboratory Technician",7403,No,3,29,2,26,9,1
48,No,"Research & Development",Male,"Research Scientist",2259,No,3,13,2,0,0,0
31,No,Sales,Female,"Sales Executive",6932,No,3,9,2,9,8,0
36,No,"Research & Development",Male,"Research Scientist",4678,No,3,8,3,6,2,0
38,No,"Research & Development",Female,"Research Director",13582,No,3,15,3,15,12,5
32,No,"Research & Development",Female,"Laboratory Technician",2332,No,4,5,3,3,0,0
25,Yes,Sales,Male,"Sales Representative",2413,Yes,3,1,3,1,0,0
40,No,Sales,Male,"Sales Executive",9705,No,3,11,2,1,0,0
26,No,Sales,Male,"Sales Executive",4294,No,3,7,3,7,7,0
41,No,"Research & Development",Male,"Laboratory Technician",4721,Yes,3,20,3,18,13,2
36,No,"Research & Development",Male,"Laboratory Technician",2519,No,4,16,3,11,8,3
19,Yes,Sales,Male,"Sales Representative",2121,Yes,3,1,4,1,0,0
20,Yes,"Research & Development",Male,"Laboratory Technician",2973,No,3,1,3,1,0,0
31,No,"Research & Development",Female,"Healthcare Representative",5855,Yes,3,10,1,9,7,8
40,No,"Research & Development",Male,"Research Scientist",3617,Yes,3,3,3,1,1,0
32,No,"Research & Development",Female,"Manufacturing Director",6725,No,3,8,4,8,7,6
36,Yes,Sales,Male,"Sales Executive",10325,Yes,3,16,3,16,7,3
33,No,"Research & Development",Female,"Healthcare Representative",6949,No,3,6,3,5,0,1
37,Yes,Sales,Male,"Sales Executive",10609,No,3,17,1,14,1,11
45,No,"Research & Development",Male,"Laboratory Technician",4447,No,3,9,2,9,7,0
29,No,Sales,Female,"Sales Representative",2157,No,3,3,3,3,1,0
35,No,Sales,Female,"Sales Executive",4601,No,3,5,3,5,2,1
52,No,"Research & Development",Male,Manager,17099,No,3,26,2,9,8,7
58,Yes,"Research & Development",Male,"Research Scientist",2479,No,4,7,3,1,0,0
53,No,Sales,Male,Manager,14852,No,3,22,4,17,13,15
30,No,Sales,Male,"Sales Executive",7264,No,3,10,4,8,4,7
38,No,Sales,Female,"Sales Executive",5666,Yes,3,6,3,5,3,1
35,No,Sales,Male,"Sales Executive",7823,No,3,12,3,10,9,0
